"year","pelicula","pais",""
"1957","The Devil Came at Night","West Germany",""
"1957","Gates of Paris","France",""
"1957","Mother India","India",""
"1957","The Nights of Cabiria","Italy",""
"1957","Nine Lives","Norway",""
"1958","Arms and the Man","West Germany",""
"1958","La Venganza","Spain",""
"1958","My Uncle","France",""
"1958","The Road a Year Long","Yugoslavia",""
"1958","The Usual Unidentified Thieves","Italy",""
"1959","Black Orpheus","France",""
"1959","The Bridge","West Germany",""
"1959","The Great War","Italy",""
"1959","Paw","Denmark",""
"1959","The Village on the River","The Netherlands",""
"1960","Kapo","Italy",""
"1960","La Vérité","France",""
"1960","Macario","Mexico",""
"1960","The Ninth Circle","Yugoslavia",""
"1960","The Virgin Spring","Sweden",""
"1961","Harry and the Butler","Denmark",""
"1961","Immortal Love","Japan",""
"1961","The Important Man","Mexico",""
"1961","Placido","Spain",""
"1961","Through a Glass Darkly","Sweden",""
"1962","Electra","Greece",""
"1962","The Four Days of Naples","Italy",""
"1962","Keeper of Promises (The Given Word)","Brazil",""
"1962","Sundays and Cybele","France",""
"1962","Tlayucan","Mexico",""
"1963","Federico Fellini's 8-1/2","Italy",""
"1963","Knife in the Water","Poland",""
"1963","Los Tarantos","Spain",""
"1963","The Red Lanterns","Greece",""
"1963","Twin Sisters of Kyoto","Japan",""
"1964","Raven's End","Sweden",""
"1964","Sallah","Israel",""
"1964","The Umbrellas of Cherbourg","France",""
"1964","Woman in the Dunes","Japan",""
"1964","Yesterday"," Today and Tomorrow","Italy"
"1965","Blood on the Land","Greece",""
"1965","Dear John","Sweden",""
"1965","Kwaidan","Japan",""
"1965","Marriage Italian Style","Italy",""
"1965","The Shop on Main Street","Czechoslovakia",""
"1966","The Battle of Algiers","Italy",""
"1966","Loves of a Blonde","Czechoslovakia",""
"1966","A Man and a Woman","France",""
"1966","Pharaoh","Poland",""
"1966","Three","Yugoslavia",""
"1967","Closely Watched Trains","Czechoslovakia",""
"1967","El Amor Brujo","Spain",""
"1967","I Even Met Happy Gypsies","Yugoslavia",""
"1967","Live for Life","France",""
"1967","Portrait of Chieko","Japan",""
"1968","The Boys of Paul Street","Hungary",""
"1968","The Firemen's Ball","Czechoslovakia",""
"1968","The Girl with the Pistol","Italy",""
"1968","Stolen Kisses","France",""
"1968","War and Peace","Union of Soviet Socialist Republics",""
"1969","Ådalen '31","Sweden",""
"1969","The Battle of Neretva","Yugoslavia",""
"1969","The Brothers Karamazov","Union of Soviet Socialist Republics",""
"1969","My Night at Maud's","France",""
"1969","Z","Algeria",""
"1970","First Love","Switzerland",""
"1970","Hoa-Binh","France",""
"1970","Investigation of a Citizen above Suspicion","Italy",""
"1970","Paix Sur Les Champs","Belgium",""
"1970","Tristana","Spain",""
"1971","Dodes'ka-Den","Japan",""
"1971","The Emigrants","Sweden",""
"1971","The Garden of the Finzi Continis","Italy",""
"1971","The Policeman","Israel",""
"1971","Tchaikovsky","Union of Soviet Socialist Republics",""
"1972","The Dawns Here Are Quiet","Union of Soviet Socialist Republics",""
"1972","The Discreet Charm of the Bourgeoisie","France",""
"1972","I Love You Rosa","Israel",""
"1972","My Dearest Señorita","Spain",""
"1972","The New Land","Sweden",""
"1973","Day for Night","France",""
"1973","The House on Chelouche Street","Israel",""
"1973","L'Invitation","Switzerland",""
"1973","The Pedestrian","West Germany",""
"1973","Turkish Delight","The Netherlands",""
"1974","Amarcord","Italy",""
"1974","Cats' Play","Hungary",""
"1974","The Deluge","Poland",""
"1974","Lacombe"," Lucien","France"
"1974","The Truce","Argentina",""
"1975","Dersu Uzala","Union of Soviet Socialist Republics",""
"1975","Land of Promise","Poland",""
"1975","Letters from Marusia","Mexico",""
"1975","Sandakan No. 8","Japan",""
"1975","Scent of a Woman","Italy",""
"1976","Black and White in Color","Ivory Coast",""
"1976","Cousin"," Cousine","France"
